Designator,Mid X,Mid Y,Layer,Rotation
C1,89.2900,-21.6650,Top,90.00
C2,84.6338,-47.9000,Top,-90.00
C3,87.3738,-50.4400,Top,180.00
C4,122.6300,-42.8955,Top,-90.00
C5,118.2800,-31.6000,Top,90.00
C6,82.8400,-46.9200,Top,-90.00
C7,81.2537,-46.9150,Top,90.00
C8,88.9300,-33.7550,Top,-90.00
C9,83.0200,-33.1450,Top,90.00
C10,80.9200,-35.4950,Top,90.00
C11,119.0000,-20.3100,Top,0.00
C12,119.0150,-21.8700,Top,0.00
C13,113.2500,-34.4500,Top,90.00
D2,82.9300,-29.0300,Top,180.00
D3,80.3825,-41.0800,Top,180.00
D4,110.4250,-25.4587,Top,-90.00
R1,85.2400,-29.4550,Top,-90.00
R2,80.5700,-29.4550,Top,-90.00
R3,91.5800,-21.0150,Top,90.00
R4,92.1800,-67.4700,Top,0.00
R5,80.6050,-38.1700,Top,180.00
R6,80.1587,-42.9600,Top,180.00
R7,112.0700,-24.0150,Top,-90.00
R8,114.4800,-24.2700,Top,0.00
R9,110.4100,-28.6238,Top,90.00
SMA1,89.4900,-74.7200,Top,90.00
U1,84.9400,-42.3100,Top,-90.00
U2,84.1700,-37.2200,Top,0.00
U3,107.9350,-54.8105,Top,0.00
U4,86.2900,-32.9700,Top,180.00
U5,114.7300,-21.5400,Top,0.00
U6,102.2600,-25.6000,Top,-90.00
U7,88.2500,-26.6900,Top,90.00
USB1,82.5100,-22.6000,Top,180.00
X1,87.0037,-47.2700,Top,90.00
